Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C4, C6, C7",0402,23,100n,
"C12, C13",0402,2,C_Small,
"C5, C8",0603,2,10u,
"J1, J2, J3, J4, J5",USB_C_Receptacle_Molex_105450-0101,5,USB_C_Receptacle,
R1,0402,1,9.53k,
"R10, R11, R12, R13, R5",0402,5,10k,
"R2, R3, R4",0402,3,4.7k,
"R20, R21, R25, R27, R29",0402,5,100k,
"R22, R23, R24, R26, R28",0402,5,900k,
R6,0402,1,90.9k,
R7,0402,1,1M,
"R8, R9",0402,2,30k,
U1,QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias,1,TUSB8041,
"U2, U3",VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,2,TPS2561,
"U4, U5, U7, U8, U9",Texas_RNH0030A_WQFN-30-1EP_2.5x4.5mm_P0.4mm_EP1.2x3.2mm,5,HD3S3220,
U6,SOT-23,1,MCP1700x-330xxTT,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
