Designator,Mid X,Mid Y,Rotation,Layer
C1,106.825,-84.335,270.0,top
C11,104.62,-62.93,0.0,top
C12,103.02,-66.1,0.0,top
C13,103.06,-71.26,180.0,top
C14,120.0,-83.88,270.0,top
C15,117.12,-85.2,270.0,top
C16,120.92,-83.88,270.0,top
C17,118.07,-85.2,270.0,top
C18,128.326972,-70.88,0.0,top
C19,129.046972,-73.57,0.0,top
C2,107.755,-84.335,270.0,top
C20,128.326972,-69.96,0.0,top
C21,129.046972,-72.65,0.0,top
C22,128.520428,-60.14,0.0,top
C23,128.340428,-62.84,0.0,top
C24,128.520428,-59.22,0.0,top
C25,128.340428,-61.925,0.0,top
C26,92.61,-62.6,180.0,top
C27,92.625,-63.515,180.0,top
C28,92.98,-65.59,180.0,top
C29,92.975,-66.505,180.0,top
C3,111.535,-84.365,270.0,top
C4,112.45,-84.36,270.0,top
C5,96.84,-76.0,270.0,top
C6,98.25,-74.31,90.0,top
C7,101.3,-78.53,270.0,top
C8,99.31,-78.82,180.0,top
H1,128.79,-53.9,0.0,top
H2,92.92,-53.9,0.0,top
H3,92.92,-82.065,0.0,top
H4,128.79,-82.065,0.0,top
J1,84.185,-65.83,270.0,top
J2,108.88,-92.135,0.0,top
J3,119.61,-92.155,0.0,top
J4,136.806972,-71.1,90.0,top
J5,136.805428,-60.5,90.0,top
R1,104.94,-71.27,180.0,top
R10,111.73,-75.71,0.0,top
R11,121.8,-76.63,0.0,top
R12,121.15,-68.94,90.0,top
R13,121.050428,-57.98,90.0,top
R2,104.64,-61.96,180.0,top
R20,105.37,-79.12,90.0,top
R21,98.36,-62.06,270.0,top
R22,99.79,-67.38,90.0,top
R23,110.18,-76.51,225.0,top
R24,120.7,-75.68,180.0,top
R25,116.5,-78.75,0.0,top
R26,120.21,-70.03,270.0,top
R27,122.996972,-74.37,90.0,top
R28,120.110428,-59.08,270.0,top
R29,122.750428,-63.71,90.0,top
R3,109.94,-60.16,90.0,top
R4,110.9,-60.16,90.0,top
R5,108.22,-60.15,90.0,top
R6,104.65,-61.02,0.0,top
R7,105.76,-69.44,270.0,top
R8,117.2,-59.47,270.0,top
R9,117.11,-55.05,270.0,top
U1,111.89,-66.93,180.0,top
U2,114.57,-58.25,0.0,top
U3,114.485,-53.83,0.0,top
U4,96.66,-65.57,180.0,top
U5,108.885,-79.73,270.0,top
U6,99.31,-76.14,270.0,top
U7,120.0,-80.43,270.0,top
U8,124.696972,-70.86,0.0,top
U9,124.410428,-60.16,0.0,top
Y1,103.23,-68.69,270.0,top
